site_id,lat,lon,c_j
J412,37.41362183926977,-122.08848625839997,50000
J413,37.413696049485964,-122.08943048735135,50000
J414,37.414868813115206,-122.08992670074922,50000
J415,37.41458965911047,-122.09022830191682,50000
J416,37.40428247023711,-122.10976355075431,50000
J417,37.414207277910066,-122.09210598556824,50000
J418,37.41422013348249,-122.09178471687858,50000
J419,37.41415526067007,-122.09136789249418,50000
J420,37.41398389850297,-122.09083016822593,50000
J421,37.414182273368816,-122.09084203917709,50000
J422,37.41399668744902,-122.08990306866096,50000
J423,37.41521484172507,-122.09456897060934,50000
J424,37.41516485210163,-122.09412269268377,50000
J425,37.41502478269427,-122.09374336284333,50000
J426,37.41533517954615,-122.09546254600835,50000
J427,37.41515779766282,-122.09492957051143,50000
J428,37.41526456942219,-122.09571382883288,50000
J429,37.41530005059694,-122.09613167079935,50000
J430,37.41534599593192,-122.0966168492884,50000
J431,37.39425856701563,-122.09765459011847,50000
J432,37.393822055874224,-122.09678238265626,50000
J433,37.39450009473802,-122.09687516709273,50000
J434,37.39590257873249,-122.09859778091653,50000
J435,37.39573397983965,-122.09820766069502,50000
J436,37.39471491916857,-122.09796749120167,50000
J437,37.3950646468951,-122.09766562537581,50000
J438,37.3870100530409,-122.08446461822355,50000
J439,37.405802405224975,-122.11197486025239,50000
J440,37.403816831175725,-122.10618694004879,50000
J441,37.38555544731693,-122.06218191670403,50000
J442,37.38519460779222,-122.06097485107496,50000
J443,37.387358886289846,-122.0611901262131,50000
J444,37.40190842489143,-122.10872190456367,50000
J445,37.408499339056974,-122.1130521141233,50000
J446,37.4089907089447,-122.1136848952835,50000
J447,37.40849949252403,-122.11050176998589,50000
J448,37.40962765030873,-122.11185557154855,50000
J449,37.40778953994632,-122.11080309669808,50000
J450,37.40763915664977,-122.11088196809457,50000
J451,37.407975951077916,-122.10937889129289,50000
J452,37.40615937246017,-122.11098750492648,50000
J453,37.40640363586334,-122.11136299674835,50000
J454,37.40671514142205,-122.11126304026767,50000
J455,37.40654715016727,-122.11171569962481,50000
J456,37.399745500011605,-122.10936475014378,50000
J457,37.40059239380207,-122.10782323639145,50000
J458,37.40001565329065,-122.10895455998062,50000
J459,37.39962465305704,-122.10904581609734,50000
J460,37.39910598532716,-122.10874369215165,50000
J461,37.399603818509405,-122.10826652429093,50000
J462,37.40415270003617,-122.11471305001129,50000
J463,37.404313977972066,-122.1149106450049,50000
J464,37.403718888687756,-122.11574034379787,50000
J465,37.40099957078279,-122.11078245826518,50000
J466,37.40310913667625,-122.11072353111642,50000
J467,37.404437522221414,-122.11404623382096,50000
J468,37.40401577846565,-122.11317926564642,50000
J469,37.4038742412488,-122.112669217174,50000
J470,37.40340730888595,-122.11356022260574,50000
J471,37.403268616977755,-122.11334275602508,50000
J472,37.40294724382252,-122.11293537968173,50000
J473,37.37717322542738,-122.06375496289435,50000
J474,37.41539465245738,-122.08298008176503,50000
J475,37.42962401721184,-122.07363885879211,50000
J476,37.40980734997703,-122.07655105000042,50000
J477,37.40918357506998,-122.07644203886059,50000
J478,37.409313300051004,-122.07575849999962,50000
J479,37.40886432962906,-122.07577274006532,50000
J480,37.418331547567654,-122.06501917873253,50000
J481,37.40922790821558,-122.06359197716745,50000
J482,37.42003109601525,-122.0623784054368,50000
J483,37.41932340003845,-122.06314055000315,50000
J484,37.4193276015401,-122.0623023000211,50000
J485,37.407156730231385,-122.06841741903135,50000
J486,37.377591909860314,-122.06413081108985,50000
J487,37.40559329991649,-122.06082065014428,50000
J488,37.40602308628255,-122.0619108533008,50000
J489,37.40571331236991,-122.0620254735031,50000
J490,37.405757799578566,-122.06165860617816,50000
J491,37.41257434087479,-122.09572634575972,50000
J492,37.41260998937651,-122.09613848605358,50000
J493,37.417618782452436,-122.06741773974369,50000
J494,37.406486411679964,-122.1131488859008,50000
J495,37.37377404138029,-122.0874840555627,50000
J496,37.39978108331906,-122.08474594916429,50000
J497,37.39964459727096,-122.08488641267552,50000
J498,37.397051623997996,-122.0920182683806,50000
J499,37.391963650398345,-122.09442697921592,50000
J500,37.368745479025115,-122.08112999894276,50000
J501,37.395082443685794,-122.09483639683826,50000
J502,37.395590631112704,-122.09462282778719,50000
J503,37.3946729433886,-122.09255270418494,50000
J504,37.39691316506437,-122.0935040961819,50000
J505,37.395083287996194,-122.09279274221949,50000
J506,37.379274023938514,-122.0719832421695,50000
J507,37.42282533397889,-122.06297621027637,50000
J508,37.41895498520219,-122.06444698873699,50000
J509,37.42417362779595,-122.07981663548989,50000
J510,37.4252559095994,-122.07898732891324,50000
J511,37.42527861356586,-122.08007362648578,50000
J512,37.42714482003791,-122.0789466411685,50000
J513,37.42054939524655,-122.06691460013245,50000
J514,37.377306761219856,-122.07716460131365,50000
J515,37.386863922682934,-122.08900586357652,50000
J516,37.40683967562249,-122.11095443031978,50000
J517,37.398098244031544,-122.09229633181647,50000
J518,37.42647366227639,-122.09714863416389,50000
J519,37.43142516169131,-122.09954369505022,50000
J520,37.429487945128194,-122.09950218913286,50000
J521,37.420473312722585,-122.08850579678113,50000
J522,37.41941654697006,-122.0870327832948,50000
J523,37.4192139999639,-122.06759764999732,50000
