site_id,lat,lon,tier
J535,37.400756880335315,-122.08583825599213,5
J536,37.40096334214324,-122.08580736223288,5
J537,37.41684627548119,-122.07667151131865,4
J538,37.40513268174946,-122.04962740898968,5
J539,37.410032182931744,-122.06463119750947,5
J540,37.40962857717882,-122.06603318814548,5
J541,37.409879869474224,-122.06637553557486,5
J542,37.37688507215471,-122.06288188923541,3
J543,37.38995229349253,-122.06020999270562,3
J544,37.389489546962494,-122.06004131682862,3
J545,37.40752162745101,-122.10574597284993,3
J546,37.409732399885854,-122.10452651500584,3
J547,37.42701190914542,-122.09877481419012,4
J548,37.36075205867711,-122.06830528671281,3
J549,37.38979588209245,-122.09557652502414,3
J550,37.39448186788593,-122.04923619548951,3
J551,37.39591536762915,-122.05013738462613,3
J552,37.39518691310317,-122.0505676354667,3
J553,37.396307082538925,-122.04954230361162,3
J554,37.39663401264803,-122.05009000593704,3
J555,37.3966118229966,-122.05132735383833,3
J556,37.39551450097448,-122.05178170018226,3
J557,37.397209573482776,-122.05115342095475,3
J558,37.39778695903003,-122.05085419695283,3
J559,37.39853720987879,-122.05058834010414,5
J560,37.39922462081975,-122.05130442513074,3
J561,37.39753797782624,-122.04942389575753,3
J562,37.39720992543431,-122.04841659778728,3
J563,37.40282224244959,-122.04965145000705,3
J564,37.40309573458972,-122.05027054607604,3
J565,37.40215002227732,-122.04919263308112,3
J566,37.40149493758088,-122.04948979963399,3
J567,37.40075415919421,-122.04982395119771,3
J568,37.40006729759518,-122.04929859417757,3
J569,37.400569232439416,-122.04817498468663,3
J570,37.39959081568719,-122.04750345853574,3
J571,37.39939034413918,-122.04780948367782,5
J572,37.39900762748004,-122.04602310517453,3
J573,37.39839985858857,-122.04641392255304,3
J574,37.39876260294432,-122.04788391671791,3
J575,37.39859507651136,-122.0472721899383,3
J576,37.39910871159538,-122.0494996067132,3
J577,37.39767861673524,-122.04782385922864,3
J578,37.39677820002308,-122.04885040002469,3
J579,37.39997372839967,-122.05136690924432,3
J580,37.40088779230948,-122.05084937277489,3
J581,37.402371437604536,-122.05047585193815,3
J582,37.40182155438324,-122.05039996682999,3
J583,37.40282554115164,-122.05181351777546,3
J584,37.40227988565697,-122.05198560535976,3
J585,37.40171618909321,-122.05218617379272,3
J586,37.40185134136144,-122.05288578336469,3
J587,37.40204839345057,-122.05365785920331,3
J588,37.40059437283503,-122.05278287337815,3
J589,37.40108981477819,-122.05505967930819,4
J590,37.40200635942217,-122.05494030367105,3
J591,37.40026553661856,-122.05389448825481,3
J592,37.399546697312296,-122.05364573524328,3
J593,37.39952826820114,-122.0546018199406,3
J594,37.39980420908575,-122.05474798623786,3
J595,37.40036086101326,-122.05680336629422,3
J596,37.39564292903623,-122.04676377782698,3
J597,37.39616281461251,-122.04683594339099,3
J598,37.396689801324484,-122.04642906755569,3
J599,37.397169210576195,-122.04626247329271,3
J600,37.39757819001638,-122.04623393122975,3
J601,37.39610506582115,-122.04758294777604,3
J602,37.39636114210556,-122.04810189363094,3
J603,37.396881362410326,-122.04775977436309,5
J604,37.39699531927342,-122.04677538755726,3
J605,37.3959845066907,-122.04884313922615,3
J606,37.395388540572405,-122.04822676385183,3
J607,37.395090219538766,-122.04776346608163,3
J608,37.39574739316348,-122.05502923745443,3
J609,37.39559874917265,-122.05647437292728,3
J610,37.38969745968409,-122.04704664824871,5
J611,37.41064835453233,-122.07195085665842,3
J612,37.39660207799032,-122.05465078794418,3
J613,37.397043176127895,-122.05493511016377,3
J614,37.39812920872699,-122.05349921826792,3
J615,37.39697533624907,-122.05593239022257,3
J616,37.39711151677121,-122.05692472174341,3
J617,37.410408445999884,-122.07199061819331,3
J618,37.380240615388814,-122.0741441188919,3
J619,37.40623822149987,-122.11282168521961,3
J620,37.40596599067387,-122.11241286128887,3
J621,37.40847526548521,-122.1097030027479,3
J622,37.40528029814611,-122.11441381563671,3
J623,37.40900355540761,-122.10648503796614,3
J624,37.40865005000821,-122.10640345001133,3
J625,37.408266373629175,-122.10498184433321,3
J626,37.40866115749698,-122.1056380863288,3
J627,37.39485305425612,-122.10057990657354,3
J628,37.394150107198634,-122.09930117852957,3
J629,37.39400099101907,-122.09997025189166,3
J630,37.39346635929127,-122.09912322094611,3
J631,37.39399436922816,-122.09863767806873,3
J632,37.397606934824346,-122.05883642459078,3
J633,37.39738619094835,-122.05783817048668,3
